key,screen,english,hindi (draft — correct this column)
askTheParentBeforeRecordingTheir,survey,Ask the parent before recording their details.,विवरण दर्ज करने से पहले अभिभावक से पूछ लें।
chooseTheBeatYouAreWalking,survey,Choose the beat you are walking,आप जिस क्षेत्र में जा रहे हैं वह चुनें
noSurveyBeatIsActiveThe,survey,No survey beat is active. The admissions desk sets the areas to canvass.,कोई सर्वेक्षण क्षेत्र चालू नहीं है। प्रवेश डेस्क क्षेत्र तय करती है।
modules,teacher home,Modules,मॉड्यूल
noPeriodsForYouTodayOn,teacher home,No periods for you today on the published timetable.,प्रकाशित समय-सारणी में आज आपका कोई पीरियड नहीं है।
todaySPeriods,teacher home,Today's periods,आज के पीरियड
shareLocationDuringSchoolHoursWorks,teacher home,Share location during school hours (works with app closed),विद्यालय समय में लोकेशन साझा करें (ऐप बंद होने पर भी चलता है)
gpsPunchInOutFromCampus,teacher home,GPS punch in / out from campus,कैंपस से जीपीएस पंच इन / आउट
noPeriodsThisDay,timetable,No periods this day.,इस दिन कोई पीरियड नहीं।
thisWeekSArrangements,timetable,This week's arrangements,इस सप्ताह की व्यवस्था
workingDraftTheOfficeHasNot,timetable,Working draft — the office has not published this timetable yet.,कच्चा प्रारूप — दफ़्तर ने यह समय-सारणी अभी प्रकाशित नहीं की है।
noPeriodsAreAssignedToYou,timetable,No periods are assigned to you on the timetable yet. The office publishes it from Timetable on the desk.,समय-सारणी में अभी आपको कोई पीरियड नहीं दिया गया है। दफ़्तर इसे डेस्क की समय-सारणी से प्रकाशित करता है।
noteForTheFamilyTheyWill,transport requests,Note for the family (they will see it),परिवार के लिए टिप्पणी (वे इसे देखेंगे)
assigned,transport requests,Assigned,सौंपा गया
contacted,transport requests,Contacted,संपर्क हुआ
nothingHereAParentSRequest,transport requests,Nothing here. A parent's request from the app appears the moment it is sent.,यहाँ कुछ नहीं। अभिभावक के ऐप से अनुरोध आते ही तुरंत दिखेगा।
aadhaarLastLicenceNo,visitor gate,"Aadhaar last 4, licence no., …","आधार के अंतिम 4 अंक, लाइसेंस नं., …"
idShownOptional,visitor gate,ID shown (optional),दिखाया गया पहचान पत्र (वैकल्पिक)
whoAreTheyHereToMeet,visitor gate,Who are they here to meet?,किससे मिलने आए हैं?
whyAreTheyHere,visitor gate,Why are they here?,किस काम से आए हैं?
visitorSName,visitor gate,Visitor's name,आगंतुक का नाम
checkThemOutInstead,visitor gate,Check them out instead,इसके बजाय बाहर दर्ज करें
checkAVisitorIn,visitor gate,Check a visitor in,आगंतुक को अंदर दर्ज करें
handOver,visitor gate,Hand over,सौंपें
out,visitor gate,Out,बाहर
checkIn,visitor gate,Check in,अंदर दर्ज करें
nameOfThePersonAtThe,visitor gate,Name of the person at the gate,गेट पर खड़े व्यक्ति का नाम
whoIsCollectingTheChild,visitor gate,Who is collecting the child?,बच्चे को कौन ले जा रहा है?
checkOut,visitor gate,Check out,बाहर दर्ज करें
notYet,visitor gate,Not yet,अभी नहीं
classLabel,syllabus scan,Class,कक्षा
setLabel,fee counter,Set,सेट
leaveEmptyHint,leave,No leave requested yet. Use the button below to tell the school when {name} will be away.,"अभी कोई छुट्टी नहीं माँगी गई है। {name} कब नहीं आएँगे, यह बताने के लिए नीचे का बटन दबाएँ।"
withdrawLeaveBody,leave,The school will no longer see the leave request for {date}.,{date} की छुट्टी का अनुरोध अब विद्यालय को नहीं दिखेगा।
routeWay,driver home,Route,रास्ता
takeAttendance,driver home,Take attendance,हाज़िरी लें
noRoutesYet,driver home,No routes yet. They appear here as soon as the office creates them.,अभी कोई रूट नहीं है। दफ़्तर से रूट बनते ही यहाँ दिखेंगे।
route,driver home,Route,रूट
gpsPunchCampus,driver home,GPS punch in / out from campus,कैंपस से GPS पंच इन / आउट
myAttendanceHome,driver home,My attendance,मेरी हाज़िरी
signOutCrew,driver home,Sign out,साइन आउट
transport,driver home,Transport,परिवहन
tryAgain,"driver home, route manifest",Try again,दोबारा कोशिश करें
noStopOnMap,driver home,No stop on this route is placed on the map — tell the office,इस रूट का कोई स्टॉप मैप पर नहीं लगा है — दफ़्तर से कहें
didNotBoard,route manifest,Did not come,नहीं आया
change,route manifest,Change,बदलें
gettingLocation,route manifest,Getting location…,लोकेशन ली जा रही है…
noChildrenAtStop,route manifest,No children at this stop,इस स्टॉप पर कोई बच्चा नहीं
noStopsOnRoute,route manifest,No stops on this route,इस रूट पर कोई स्टॉप नहीं है
afternoonDrop,route manifest,Afternoon — drop,दोपहर — छोड़ना
morningPickup,route manifest,Morning — pick up,सुबह — लेना
refresh,route manifest,Refresh,ताज़ा करें
expiresInMinutes,command bar,Expires in 5 minutes,5 मिनट में समाप्त
confirm,command bar,Confirm,पुष्टि करें
send,command bar,Send,भेजें
askTheErp,command bar,Ask the ERP,ईआरपी से पूछें
